Modèle,Précision,AUC-ROC,Log-Loss,F1-Score (Classes),Précision (Classes),Rappel (Classes)
Régression Logistique,1.0,1.0,0.042494117105837614,"1.00, 1.00, 1.00","1.00, 1.00, 1.00","1.00, 1.00, 1.00"
Arbres de Décision,0.9831460674157303,0.9871152572754452,0.6074773043109635,"0.98, 0.98, 0.99","0.98, 0.98, 0.99","0.98, 0.98, 0.99"
Forêts Aléatoires,1.0,1.0,0.06381895294149191,"1.00, 1.00, 1.00","1.00, 1.00, 1.00","1.00, 1.00, 1.00"
SVM (Support Vector Machines),0.9943820224719101,1.0,0.0422282914675282,"1.00, 0.99, 0.99","1.00, 0.98, 1.00","1.00, 1.00, 0.99"
Réseau de Neurones,1.0,1.0,0.016318075952443577,"1.00, 1.00, 1.00","1.00, 1.00, 1.00","1.00, 1.00, 1.00"
